Time [s], Analyzer Name, Decoded Protocol Result
0.967196620000000,Async Serial,'0' (0x00)
0.967717620000000,Async Serial,'0' (0x00)
0.968238610000000,Async Serial,'0' (0x00)
0.968759560000000,Async Serial,'0' (0x00)
0.969280500000000,Async Serial,'0' (0x00)
0.969801460000000,Async Serial,'0' (0x00)
0.970322470000000,Async Serial,'0' (0x00)
0.970843420000000,Async Serial,'0' (0x00)
0.971364380000000,Async Serial,'0' (0x00)
0.971885380000000,Async Serial,'0' (0x00)
0.972406430000000,Async Serial,'0' (0x00)
0.972927420000000,Async Serial,'0' (0x00)
0.973448450000000,Async Serial,'0' (0x00)
0.973969390000000,Async Serial,'0' (0x00)
0.974490350000000,Async Serial,'0' (0x00)
0.975011330000000,Async Serial,'161' (0xA1)
0.975532390000000,Async Serial,'172' (0xAC)
0.976053400000000,Async Serial,'0' (0x00)
0.976574390000000,Async Serial,'0' (0x00)
0.977095390000000,Async Serial,'0' (0x00)
0.977616350000000,Async Serial,'0' (0x00)
0.978137310000000,Async Serial,'0' (0x00)
0.978658240000000,Async Serial,'0' (0x00)
0.979179180000000,Async Serial,'0' (0x00)
0.979700120000000,Async Serial,'0' (0x00)
0.980221070000000,Async Serial,'0' (0x00)
0.980742050000000,Async Serial,'0' (0x00)
0.981263040000000,Async Serial,'0' (0x00)
0.981783990000000,Async Serial,'0' (0x00)
0.982304950000000,Async Serial,'0' (0x00)
0.982825890000000,Async Serial,'0' (0x00)
0.983346890000000,Async Serial,'0' (0x00)
0.983867840000000,Async Serial,'0' (0x00)
0.984388880000000,Async Serial,'0' (0x00)
0.984909800000000,Async Serial,'0' (0x00)
0.985430810000000,Async Serial,'0' (0x00)
0.985951800000000,Async Serial,'0' (0x00)
0.986472790000000,Async Serial,'0' (0x00)
0.986993730000000,Async Serial,'0' (0x00)
0.987514680000000,Async Serial,'161' (0xA1)
0.988035630000000,Async Serial,'162' (0xA2)
0.988556600000000,Async Serial,'0' (0x00)
0.989077600000000,Async Serial,'0' (0x00)
0.989598650000000,Async Serial,'0' (0x00)
0.990119610000000,Async Serial,'0' (0x00)
0.990640580000000,Async Serial,'0' (0x00)
0.991161560000000,Async Serial,'0' (0x00)
0.991682540000000,Async Serial,'0' (0x00)
0.992203530000000,Async Serial,'0' (0x00)
0.992724460000000,Async Serial,'0' (0x00)
0.993245400000000,Async Serial,'0' (0x00)
0.993766410000000,Async Serial,'0' (0x00)
0.994287420000000,Async Serial,'2' (0x02)
0.994808390000000,Async Serial,'3' (0x03)
0.995329370000000,Async Serial,'4' (0x04)
0.995850310000000,Async Serial,'6' (0x06)
0.996371270000000,Async Serial,'8' (0x08)
0.996892200000000,Async Serial,'12' (0x0C)
